Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;
0.970032;-0.379883;-0.00339676;-1106.55;-17.8997;19.8109;-0.0029782;-0.0352456;-1163.68;-14.3931;-1037.57;-14.3928;
0.980032;-0.383126;-0.00339709;-1106.49;-17.8997;19.7974;-0.00298194;-0.035582;-1163.62;-14.393;-1037.51;-14.3927;
0.990032;-0.383519;-0.00338988;-1106.44;-17.8997;19.7835;-0.00298576;-0.035929;-1163.57;-14.393;-1037.46;-14.3926;
1.00003;-0.383616;-0.00337857;-1106.38;-17.8998;19.768;-0.00298977;-0.0363116;-1163.51;-14.3929;-1037.4;-14.3925;
1.01003;-0.383669;-0.0033657;-1106.32;-17.8998;19.7547;-0.00299296;-0.0366426;-1163.46;-14.3928;-1037.35;-14.3924;
1.02003;-0.382278;-0.00334962;-1106.27;-17.8999;19.7403;-0.00299596;-0.0369984;-1163.4;-14.3927;-1037.3;-14.3923;
1.03003;-0.359559;-0.00338663;-1106.21;-17.8999;19.7278;-0.00299897;-0.0373196;-1163.35;-14.3926;-1037.24;-14.3922;
1.04003;-0.344168;-0.00349998;-1106.16;-17.9;19.7154;-0.00300516;-0.0376552;-1163.3;-14.3925;-1037.19;-14.3921;
1.05003;-0.342361;-0.00355908;-1106.1;-17.9;19.7028;-0.00301505;-0.0380061;-1163.24;-14.3924;-1037.13;-14.392;
1.06003;-0.342089;-0.000500932;-1106.05;-17.9;19.6915;-0.00298309;-0.0383183;-1163.19;-14.3923;-1037.08;-14.3919;
1.07003;-0.152861;-0.00218223;-1106;-17.9001;19.6826;-0.00291392;-0.03868;-1163.13;-14.3922;-1037.02;-14.3918;
1.08004;-0.124298;-0.0026826;-1105.94;-17.9001;19.6779;-0.00289652;-0.0389948;-1163.08;-14.3921;-1036.97;-14.3917;
1.09004;-0.119778;-0.00274856;-1105.89;-17.9002;19.6738;-0.00288371;-0.0392956;-1163.02;-14.392;-1036.91;-14.3916;
1.10004;-0.118634;-0.00330518;-1105.83;-17.9002;19.6691;-0.00289123;-0.039624;-1162.97;-14.3919;-1036.86;-14.3915;
1.11004;-0.117985;-0.000267382;-1105.78;-17.9003;19.6653;-0.00284694;-0.0398908;-1162.91;-14.3918;-1036.8;-14.3913;
1.12004;-0.00232471;-0.00131541;-1105.72;-17.9003;19.6621;-0.00277909;-0.0401812;-1162.86;-14.3917;-1036.75;-14.3912;
1.13004;0.221067;-0.0025756;-1105.67;-17.9004;19.6669;-0.00275582;-0.0404593;-1162.8;-14.3916;-1036.69;-14.3911;
1.14004;0.253801;-0.00339135;-1105.61;-17.9004;19.6758;-0.0027766;-0.0407266;-1162.75;-14.3915;-1036.64;-14.391;
1.15004;0.256649;-0.00344261;-1105.56;-17.9005;19.6848;-0.00281264;-0.040977;-1162.69;-14.3914;-1036.58;-14.3909;
1.16004;0.257906;-0.00304121;-1105.51;-17.9005;19.6933;-0.00283992;-0.0412097;-1162.64;-14.3913;-1036.53;-14.3908;
1.17004;0.259116;-0.00234151;-1105.45;-17.9006;19.7026;-0.00285081;-0.0414591;-1162.58;-14.3911;-1036.47;-14.3907;
1.18004;0.234209;-0.0013422;-1105.39;-17.9006;19.7125;-0.00283021;-0.0417366;-1162.53;-14.391;-1036.42;-14.3905;
1.19004;-0.0581887;-0.000437424;-1105.34;-17.9007;19.7145;-0.00277062;-0.0419855;-1162.47;-14.3909;-1036.36;-14.3904;
1.20004;-0.100725;-0.000475965;-1105.28;-17.9007;19.7113;-0.00269956;-0.0422342;-1162.42;-14.3908;-1036.31;-14.3903;
1.21004;-0.0700145;0.00164094;-1105.23;-17.9007;19.7076;-0.00258726;-0.0424885;-1162.36;-14.3907;-1036.25;-14.3902;
1.22004;0.250344;0.00160517;-1105.17;-17.9008;19.7112;-0.0024302;-0.0427543;-1162.31;-14.3906;-1036.2;-14.3901;
1.23004;0.299299;-0.000982465;-1105.12;-17.9008;19.7205;-0.0023388;-0.0429981;-1162.26;-14.3905;-1036.15;-14.39;
1.24004;0.305441;-0.00142361;-1105.07;-17.9009;19.7316;-0.00228485;-0.0432845;-1162.2;-14.3904;-1036.09;-14.3898;
1.25004;0.306381;-0.00189541;-1105.01;-17.9009;19.7433;-0.00224286;-0.0435901;-1162.15;-14.3903;-1036.04;-14.3897;
1.26004;0.306755;-0.00219648;-1104.96;-17.901;19.7532;-0.00221803;-0.043855;-1162.09;-14.3901;-1035.98;-14.3896;
1.27004;0.292626;-0.00236892;-1104.91;-17.901;19.7641;-0.00219871;-0.044151;-1162.04;-14.39;-1035.93;-14.3895;
1.28004;0.21831;-0.00220343;-1104.85;-17.9011;19.7738;-0.00217781;-0.0444681;-1161.98;-14.3899;-1035.87;-14.3893;
1.29004;0.200649;-0.00189276;-1104.79;-17.9011;19.7815;-0.00214605;-0.0447813;-1161.93;-14.3898;-1035.82;-14.3892;
1.30004;0.199165;-0.00172917;-1104.73;-17.9012;19.7888;-0.00210694;-0.0450845;-1161.87;-14.3897;-1035.76;-14.3891;
1.31004;0.227697;-0.00476759;-1104.68;-17.9012;19.7959;-0.00213053;-0.0453617;-1161.82;-14.3895;-1035.71;-14.389;
1.32004;0.340312;-0.00487377;-1104.63;-17.9013;19.8073;-0.00219368;-0.0456961;-1161.76;-14.3894;-1035.65;-14.3888;
1.33004;0.354469;-0.0053699;-1104.57;-17.9013;19.8204;-0.00227436;-0.046037;-1161.71;-14.3893;-1035.6;-14.3887;
1.34004;0.355696;-0.00531211;-1104.52;-17.9014;19.8327;-0.00234766;-0.0463625;-1161.65;-14.3892;-1035.54;-14.3886;
1.35004;0.355959;-0.00747912;-1104.47;-17.9014;19.8442;-0.00249222;-0.0466825;-1161.59;-14.389;-1035.49;-14.3884;
1.36004;0.356187;-0.00655745;-1104.41;-17.9015;19.857;-0.0026123;-0.047054;-1161.54;-14.3889;-1035.43;-14.3883;
1.37004;0.363342;-0.0078109;-1104.35;-17.9015;19.8709;-0.00277745;-0.0474722;-1161.48;-14.3888;-1035.38;-14.3882;
1.38004;0.428452;-0.0076609;-1104.29;-17.9016;19.8862;-0.00294159;-0.047905;-1161.43;-14.3887;-1035.32;-14.388;
1.39005;0.438612;-0.00722383;-1104.24;-17.9016;19.9019;-0.00306017;-0.048329;-1161.37;-14.3885;-1035.27;-14.3879;
1.40005;0.440044;-0.00785696;-1104.18;-17.9017;19.9176;-0.00317733;-0.0487598;-1161.32;-14.3884;-1035.21;-14.3878;
1.41005;0.44045;-0.00798003;-1104.13;-17.9018;19.9322;-0.00330031;-0.0491697;-1161.26;-14.3883;-1035.15;-14.3876;
1.42005;0.440766;-0.00736089;-1104.08;-17.9018;19.9477;-0.00341511;-0.0496117;-1161.21;-14.3881;-1035.1;-14.3875;
1.43005;0.446327;-0.00696912;-1104.02;-17.9019;19.9629;-0.00350639;-0.0500524;-1161.15;-14.388;-1035.04;-14.3873;
1.44005;0.480623;-0.00676476;-1103.97;-17.9019;19.9795;-0.00358965;-0.0505206;-1161.1;-14.3879;-1034.99;-14.3872;
1.45005;0.499486;-0.00940303;-1103.91;-17.902;19.9987;-0.00369974;-0.0510306;-1161.04;-14.3878;-1034.93;-14.3871;
1.46005;0.501299;-0.00880256;-1103.85;-17.9021;20.0175;-0.00386523;-0.0515315;-1160.99;-14.3876;-1034.88;-14.3869;
1.47005;0.46262;-0.0078077;-1103.8;-17.9021;20.0341;-0.00398339;-0.0520096;-1160.93;-14.3875;-1034.82;-14.3868;
1.48005;0.455718;-0.00712845;-1103.75;-17.9022;20.0492;-0.00406543;-0.0524722;-1160.88;-14.3874;-1034.77;-14.3867;
1.49005;0.454913;-0.00660694;-1103.69;-17.9022;20.0669;-0.00413803;-0.0530262;-1160.82;-14.3872;-1034.71;-14.3865;
1.50005;0.454998;-0.00743599;-1103.63;-17.9023;20.0822;-0.00422186;-0.0535076;-1160.77;-14.3871;-1034.66;-14.3864;
1.51005;0.455154;-0.00696972;-1103.57;-17.9024;20.1007;-0.00430888;-0.054103;-1160.71;-14.387;-1034.6;-14.3862;
1.52005;0.483824;-0.0081906;-1103.51;-17.9024;20.1174;-0.00441361;-0.0546388;-1160.66;-14.3868;-1034.55;-14.3861;
1.53005;0.518446;-0.0110635;-1103.46;-17.9025;20.1341;-0.00456987;-0.0551458;-1160.6;-14.3867;-1034.49;-14.3859;
1.54005;0.526356;-0.0115092;-1103.41;-17.9026;20.1536;-0.00480439;-0.0557372;-1160.55;-14.3865;-1034.44;-14.3858;
1.55005;0.527058;-0.0140083;-1103.35;-17.9026;20.1722;-0.0050534;-0.0563315;-1160.49;-14.3864;-1034.38;-14.3856;
1.56005;0.565564;-0.0154787;-1103.3;-17.9027;20.1902;-0.0053361;-0.056918;-1160.43;-14.3863;-1034.32;-14.3855;
1.57005;0.62539;-0.016121;-1103.24;-17.9028;20.2119;-0.00568019;-0.0575989;-1160.38;-14.3861;-1034.27;-14.3853;
1.58005;0.634432;-0.0186456;-1103.19;-17.9028;20.2346;-0.00612062;-0.0583267;-1160.32;-14.386;-1034.21;-14.3852;
1.59005;0.635598;-0.0225399;-1103.12;-17.9029;20.2603;-0.00666744;-0.0592245;-1160.26;-14.3858;-1034.15;-14.385;
1.60005;0.636131;-0.0223034;-1103.07;-17.903;20.2822;-0.00713228;-0.0600552;-1160.2;-14.3857;-1034.1;-14.3849;
1.61005;0.636669;-0.0210755;-1103.01;-17.9031;20.3061;-0.00762803;-0.0610262;-1160.15;-14.3855;-1034.04;-14.3847;
1.62005;0.638392;-0.0223525;-1102.96;-17.9032;20.3271;-0.00808557;-0.0619362;-1160.09;-14.3854;-1033.98;-14.3846;
1.63005;0.648364;-0.0244968;-1102.9;-17.9032;20.3513;-0.0086155;-0.0630514;-1160.04;-14.3852;-1033.93;-14.3844;
1.64005;0.649902;-0.026203;-1102.84;-17.9033;20.374;-0.00911923;-0.0641579;-1159.98;-14.3851;-1033.87;-14.3843;
1.65005;0.650516;-0.0261056;-1102.79;-17.9034;20.3969;-0.00963028;-0.06534;-1159.92;-14.3849;-1033.81;-14.3841;
1.66005;0.651005;-0.0233465;-1102.73;-17.9035;20.4223;-0.010115;-0.0667219;-1159.87;-14.3848;-1033.76;-14.384;
1.67005;0.651415;-0.0270461;-1102.67;-17.9036;20.4455;-0.0105885;-0.068058;-1159.81;-14.3846;-1033.7;-14.3838;
1.68005;0.651785;-0.0264909;-1102.62;-17.9037;20.4689;-0.011034;-0.0694614;-1159.75;-14.3845;-1033.64;-14.3836;
1.69005;0.683042;-0.0267866;-1102.56;-17.9038;20.4917;-0.0114339;-0.0708462;-1159.7;-14.3843;-1033.59;-14.3835;
1.70006;0.70817;-0.0272411;-1102.51;-17.9039;20.5157;-0.0118775;-0.0722921;-1159.64;-14.3842;-1033.53;-14.3833;
1.71006;0.728091;-0.0288464;-1102.45;-17.904;20.5417;-0.0123235;-0.0738716;-1159.58;-14.384;-1033.47;-14.3832;
1.72006;0.80121;-0.027691;-1102.39;-17.9041;20.5702;-0.0127743;-0.0755515;-1159.53;-14.3839;-1033.42;-14.383;
1.73006;0.818803;-0.0285342;-1102.34;-17.9042;20.5981;-0.0131551;-0.0771305;-1159.47;-14.3837;-1033.36;-14.3829;
1.74006;0.821895;-0.0274971;-1102.27;-17.9044;20.6299;-0.0135846;-0.0789624;-1159.41;-14.3836;-1033.3;-14.3827;
1.75006;0.822748;-0.0275033;-1102.21;-17.9045;20.6604;-0.013955;-0.0807598;-1159.35;-14.3834;-1033.25;-14.3825;
1.76006;0.823437;-0.0275419;-1102.16;-17.9046;20.6886;-0.0142833;-0.0824479;-1159.3;-14.3833;-1033.19;-14.3824;
1.77006;0.816906;-0.027631;-1102.1;-17.9047;20.7169;-0.0146171;-0.0841667;-1159.24;-14.3831;-1033.13;-14.3822;
1.78006;0.803038;-0.028389;-1102.04;-17.9049;20.7479;-0.0150217;-0.0861099;-1159.19;-14.383;-1033.08;-14.3821;
1.79006;0.801749;-0.0268599;-1101.99;-17.905;20.7741;-0.0153041;-0.0878039;-1159.13;-14.3828;-1033.02;-14.3819;
1.80006;0.802058;-0.0265967;-1101.93;-17.9051;20.8031;-0.0155808;-0.0896992;-1159.07;-14.3826;-1032.96;-14.3817;
1.81006;0.806834;-0.0273276;-1101.87;-17.9053;20.8347;-0.0159054;-0.0917961;-1159.01;-14.3825;-1032.9;-14.3816;
1.82006;0.814082;-0.0261756;-1101.81;-17.9054;20.8646;-0.0161754;-0.0937896;-1158.95;-14.3823;-1032.85;-14.3814;
