Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;m;m;
0.980197;-1.36981;-0.00374755;-33.8247;-1.7523;16.1156;-0.00341034;-0.0356232;18.5237;5.24457;5.24266;-59.4953;1.74343;-40.9326;8.63477;14.1677;12.0861;7.7336;
0.990199;-1.3749;-0.0036314;-33.7792;-1.75234;16.0653;-0.00342796;-0.0360396;18.4578;5.24444;5.24251;-59.4029;1.74329;-40.8523;8.62226;14.1677;12.0443;7.73351;
1.0002;-1.37964;-0.00362618;-33.7366;-1.75238;16.0178;-0.00344277;-0.0364329;18.3919;5.24432;5.24236;-59.3105;1.74316;-40.7719;8.60975;14.1676;12.0024;7.73341;
1.0102;-1.3847;-0.0029377;-33.6905;-1.75241;15.9661;-0.00344926;-0.0368597;18.326;5.24419;5.2422;-59.2181;1.74302;-40.6915;8.59723;14.1675;11.9606;7.73332;
1.0202;-1.38937;-0.000301245;-33.6475;-1.75245;15.9176;-0.00337982;-0.0372531;18.2601;5.24406;5.24205;-59.1257;1.74289;-40.6111;8.58471;14.1675;11.9188;7.73323;
1.03021;-1.3941;-0.00196895;-33.6036;-1.75249;15.8678;-0.0033187;-0.0376404;18.1941;5.24393;5.2419;-59.0333;1.74275;-40.5311;8.5722;14.1674;11.8771;7.73313;
1.04021;-1.39879;-0.00540153;-33.5595;-1.75253;15.8174;-0.00340009;-0.0380234;18.1279;5.2438;5.24175;-58.9413;1.74261;-40.4518;8.5597;14.1673;11.8356;7.73305;
1.05021;-1.40338;-0.00429183;-33.5155;-1.75257;15.7669;-0.00346911;-0.0384146;18.0618;5.24367;5.24159;-58.8492;1.74247;-40.3725;8.54722;14.1673;11.7942;7.73297;
1.06021;-1.40789;-0.0035769;-33.4719;-1.75261;15.7163;-0.00349737;-0.0388124;17.9956;5.24354;5.24144;-58.7572;1.74234;-40.2933;8.53473;14.1672;11.7527;7.73289;
1.07021;-1.41231;-0.00320878;-33.4284;-1.75265;15.6657;-0.00350864;-0.0392123;17.9295;5.2434;5.24129;-58.6651;1.7422;-40.214;8.52224;14.1671;11.7113;7.73281;
1.08022;-1.41665;-0.00303655;-33.3851;-1.75268;15.615;-0.00351071;-0.0396135;17.863;5.24327;5.24113;-58.5727;1.74206;-40.1346;8.50976;14.1671;11.6697;7.73273;
1.09022;-1.42092;-0.00296469;-33.3417;-1.75272;15.5637;-0.00350869;-0.0400185;17.7952;5.24313;5.24097;-58.4792;1.74192;-40.0549;8.4973;14.167;11.6278;7.73266;
1.10022;-1.4251;-0.00293155;-33.2984;-1.75277;15.5123;-0.00350536;-0.0404231;17.7275;5.24299;5.24081;-58.3856;1.74177;-39.9751;8.48485;14.1669;11.5859;7.73258;
1.11022;-1.42926;-0.00291072;-33.2545;-1.75281;15.4599;-0.00350166;-0.0408336;17.6598;5.24285;5.24065;-58.2921;1.74163;-39.8954;8.4724;14.1669;11.544;7.73251;
1.12022;-1.43313;-0.00289152;-33.2128;-1.75285;15.4098;-0.00349806;-0.041224;17.592;5.24271;5.24049;-58.1985;1.74149;-39.8156;8.45995;14.1668;11.5021;7.73244;
1.13023;-1.43697;-0.00286678;-33.1704;-1.75289;15.3585;-0.00349424;-0.0416212;17.5243;5.24257;5.24033;-58.1052;1.74134;-39.7362;8.4475;14.1667;11.4603;7.73237;
1.14023;-1.44092;-0.00283402;-33.1258;-1.75293;15.3042;-0.00348983;-0.0420399;17.4567;5.24243;5.24017;-58.0126;1.7412;-39.658;8.43498;14.1667;11.4189;7.73231;
1.15023;-1.44447;-0.00279811;-33.0846;-1.75297;15.2538;-0.00348524;-0.0424261;17.3891;5.24228;5.24001;-57.92;1.74105;-39.5798;8.42242;14.1666;11.3776;7.73225;
1.16023;-1.448;-0.00275622;-33.0426;-1.75301;15.2021;-0.00347984;-0.0428197;17.3215;5.24214;5.23985;-57.8273;1.74091;-39.5016;8.40986;14.1665;11.3363;7.73219;
1.17023;-1.45145;-0.00271244;-33.0002;-1.75305;15.1496;-0.00347345;-0.0432174;17.2539;5.242;5.23969;-57.7347;1.74076;-39.4233;8.3973;14.1665;11.295;7.73213;
1.18024;-1.45477;-0.00266925;-32.9582;-1.75309;15.0973;-0.00346624;-0.0436113;17.1861;5.24185;5.23953;-57.6419;1.74062;-39.3451;8.38474;14.1664;11.2536;7.73207;
1.19024;-1.45798;-0.00262701;-32.9162;-1.75313;15.0446;-0.00345817;-0.0440058;17.1172;5.24172;5.23937;-57.5483;1.74047;-39.2669;8.37223;14.1663;11.212;7.73202;
1.20024;-1.46108;-0.00258648;-32.8743;-1.75318;14.9918;-0.00344936;-0.0443991;17.0484;5.24158;5.2392;-57.4548;1.74032;-39.1886;8.35977;14.1663;11.1704;7.73196;
1.21024;-1.46403;-0.00397386;-32.8326;-1.75322;14.9391;-0.00349395;-0.0447933;16.9796;5.24144;5.23904;-57.3613;1.74017;-39.1104;8.3473;14.1662;11.1289;7.73191;
1.22024;-1.46686;-0.0032296;-32.7911;-1.75326;14.8862;-0.0035167;-0.0451944;16.9108;5.24131;5.23888;-57.2677;1.74002;-39.0321;8.33483;14.1661;11.0873;7.73186;
1.23025;-1.46954;-0.00521446;-32.7502;-1.7533;14.8337;-0.00355517;-0.0455951;16.8416;5.24118;5.23871;-57.1739;1.73987;-38.9538;8.32236;14.1661;11.0456;7.73181;
1.24025;-1.4721;-0.00528065;-32.7087;-1.75335;14.7803;-0.00364544;-0.0460134;16.7714;5.24109;5.23854;-57.0793;1.73972;-38.8754;8.30985;14.166;11.0037;7.73176;
1.25025;-1.47447;-0.00809573;-32.6688;-1.75339;14.7288;-0.00375673;-0.0464333;16.7011;5.241;5.23838;-56.9847;1.73957;-38.7969;8.29732;14.1659;10.9618;7.73172;
1.26025;-1.47678;-0.00608881;-32.6268;-1.75343;14.674;-0.00389682;-0.0469036;16.6309;5.24091;5.23821;-56.8901;1.73942;-38.7185;8.28479;14.1659;10.9199;7.73167;
1.27025;-1.47889;-0.00757563;-32.5865;-1.75348;14.6213;-0.00407099;-0.0473801;16.5607;5.24082;5.23804;-56.7955;1.73927;-38.64;8.27226;14.1658;10.8779;7.73163;
1.28026;-1.48084;-0.00792668;-32.5465;-1.75352;14.5688;-0.00426619;-0.0478848;16.4904;5.24076;5.23787;-56.7009;1.73911;-38.5619;8.25973;14.1657;10.8361;7.73158;
