Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;
0.750205;-0.0535513;0.0846246;-88.1385;-5.21384;19.8585;0.0725819;0.631959;-5.24709;92.5694;-5.2471;124.329;-9.0248;-14.1243;-21.8502;-7.73758;
0.760207;-0.0535428;0.0846004;-88.0832;-5.21303;19.8566;0.0725806;0.640775;-5.247;92.5066;-5.24701;124.269;-9.01232;-14.1242;-21.8085;-7.73741;
0.77021;-0.0535449;0.0845786;-88.0284;-5.21221;19.8547;0.0725792;0.649521;-5.24691;92.4439;-5.24692;124.209;-8.99983;-14.1241;-21.7667;-7.73723;
0.780213;-0.0535563;0.0845568;-87.9732;-5.21138;19.8528;0.0725775;0.658313;-5.24681;92.3811;-5.24683;124.149;-8.9873;-14.124;-21.725;-7.73706;
0.790216;-0.0535771;0.0845354;-87.918;-5.21054;19.8509;0.0725757;0.667111;-5.24672;92.3181;-5.24674;124.089;-8.97478;-14.1239;-21.6833;-7.73689;
0.800218;-0.0536025;0.0845147;-87.8624;-5.20968;19.849;0.0725738;0.675986;-5.24662;92.2547;-5.24664;124.029;-8.96225;-14.1238;-21.6416;-7.73672;
0.810221;-0.0536298;0.084495;-87.8081;-5.20884;19.8471;0.0725717;0.684645;-5.24652;92.1913;-5.24654;123.968;-8.94972;-14.1237;-21.6;-7.73656;
0.820224;-0.0536582;0.0844753;-87.7525;-5.20796;19.8452;0.0725696;0.693508;-5.24642;92.1279;-5.24645;123.908;-8.9372;-14.1235;-21.5584;-7.7364;
0.830227;-0.0536853;0.0844552;-87.6951;-5.20705;19.8432;0.0725673;0.702652;-5.24632;92.0645;-5.24635;123.848;-8.9247;-14.1234;-21.5168;-7.73624;
0.840229;-0.0537073;0.0844367;-87.6419;-5.2062;19.8413;0.0725651;0.71113;-5.24622;92.0009;-5.24625;123.788;-8.9122;-14.1233;-21.4752;-7.73609;
0.850232;-0.0537259;0.0844177;-87.5879;-5.20533;19.8394;0.0725628;0.719743;-5.24611;91.9368;-5.24614;123.727;-8.8997;-14.1232;-21.4337;-7.73594;
0.860235;-0.0537406;0.0843982;-87.5324;-5.20442;19.8375;0.0725604;0.728594;-5.246;91.8728;-5.24604;123.667;-8.8872;-14.1231;-21.3922;-7.73579;
0.870237;-0.0537502;0.0843788;-87.478;-5.20353;19.8356;0.072558;0.737271;-5.2459;91.8087;-5.24594;123.606;-8.87469;-14.123;-21.3506;-7.73565;
0.88024;-0.0537561;0.0843587;-87.4222;-5.2026;19.8337;0.0725554;0.746156;-5.24579;91.7447;-5.24583;123.546;-8.86219;-14.1229;-21.3091;-7.7355;
0.890243;-0.0537588;0.0843381;-87.3671;-5.20168;19.8317;0.0725528;0.754941;-5.24568;91.6802;-5.24573;123.485;-8.84969;-14.1228;-21.2676;-7.73536;
0.900246;-0.0537579;0.084317;-87.3113;-5.20073;19.8298;0.07255;0.763835;-5.24557;91.6151;-5.24562;123.424;-8.83719;-14.1227;-21.2259;-7.73523;
0.910248;-0.0537549;0.0842969;-87.2562;-5.19979;19.8279;0.0725471;0.772614;-5.24545;91.5501;-5.24551;123.362;-8.82468;-14.1225;-21.1843;-7.73509;
0.920251;-0.0537516;0.0842772;-87.2009;-5.19884;19.8259;0.0725442;0.78144;-5.24534;91.485;-5.2454;123.301;-8.81218;-14.1224;-21.1426;-7.73496;
0.930254;-0.0537483;0.0842579;-87.1462;-5.19789;19.824;0.0725412;0.79015;-5.24522;91.4199;-5.24529;123.24;-8.79968;-14.1223;-21.101;-7.73483;
0.940257;-0.0537453;0.0842381;-87.0904;-5.19691;19.8221;0.0725381;0.799047;-5.24511;91.3545;-5.24517;123.179;-8.78719;-14.1222;-21.0593;-7.7347;
0.950259;-0.0537435;0.0842183;-87.0351;-5.19593;19.8201;0.0725349;0.807861;-5.24499;91.2887;-5.24506;123.117;-8.77469;-14.1221;-21.0177;-7.73458;
0.960262;-0.0537429;0.0841987;-86.9804;-5.19495;19.8182;0.0725316;0.816581;-5.24486;91.2228;-5.24494;123.055;-8.76219;-14.122;-20.9761;-7.73446;
0.970265;-0.0537437;0.0841791;-86.9252;-5.19396;19.8163;0.0725283;0.825377;-5.24474;91.157;-5.24482;122.994;-8.74969;-14.1219;-20.9345;-7.73434;
0.980267;-0.0537459;0.0841597;-86.8707;-5.19297;19.8144;0.072525;0.834061;-5.24462;91.0912;-5.24471;122.932;-8.73719;-14.1218;-20.8929;-7.73422;
0.99027;-0.0537499;0.0841403;-86.8156;-5.19196;19.8125;0.0725215;0.842857;-5.2445;91.0249;-5.24459;122.87;-8.7247;-14.1216;-20.8512;-7.73411;
1.00027;-0.053712;0.0818208;-86.7601;-5.19094;19.8105;0.0724863;0.85169;-5.24437;90.9579;-5.24446;122.808;-8.7122;-14.1215;-20.8094;-7.734;
1.01028;-0.0537075;0.0808292;-86.7058;-5.18993;19.8087;0.0723795;0.860335;-5.24424;90.891;-5.24434;122.745;-8.6997;-14.1214;-20.7677;-7.7339;
1.02028;-0.0537391;0.0822258;-86.6504;-5.18889;19.8067;0.0722936;0.869148;-5.24411;90.824;-5.24422;122.683;-8.6872;-14.1213;-20.7259;-7.73379;
1.03028;-0.053752;0.0827181;-86.5963;-5.18786;19.8048;0.0722498;0.877729;-5.24399;90.7571;-5.24409;122.621;-8.67469;-14.1212;-20.6841;-7.73368;
1.04028;-0.0537637;0.0828618;-86.5411;-5.18681;19.8029;0.0722182;0.886473;-5.24386;90.69;-5.24397;122.558;-8.66218;-14.1211;-20.6424;-7.73358;
